vector,bit_lsb,bit_msb,width,wrapper_field,struct_name,signal,type_name
pi,0,0,1,in,PTW_in_t,in.tlb_miss,wire1_t
pi,1,10,10,in,PTW_in_t,in.tlb_vpn1,wire10_t
pi,11,20,10,in,PTW_in_t,in.tlb_vpn0,wire10_t
pi,21,22,2,in,PTW_in_t,in.tlb_op_type,wire2_t
pi,23,44,22,in,PTW_in_t,in.satp_ppn,wire22_t
pi,45,53,9,in,PTW_in_t,in.satp_asid,wire9_t
pi,54,85,32,in,PTW_in_t,in.mstatus,wire32_t
pi,86,117,32,in,PTW_in_t,in.sstatus,wire32_t
pi,118,119,2,in,PTW_in_t,in.privilege,wire2_t
pi,120,120,1,in,PTW_in_t,in.dcache_req_ready,wire1_t
pi,121,121,1,in,PTW_in_t,in.dcache_resp_valid,wire1_t
pi,122,122,1,in,PTW_in_t,in.dcache_resp_miss,wire1_t
pi,123,154,32,in,PTW_in_t,in.dcache_resp_data,wire32_t
pi,155,155,1,in,PTW_in_t,in.mem_req_ready,wire1_t
pi,156,156,1,in,PTW_in_t,in.mem_resp_valid,wire1_t
pi,157,188,32,in,PTW_in_t,in.mem_resp_data,wire32_t
pi,189,191,3,regs,PTW_regs_t,regs.state_r,reg3_t
pi,192,192,1,regs,PTW_regs_t,regs.dcache_state_r,reg1_t
pi,193,202,10,regs,PTW_regs_t,regs.vpn1_r,reg10_t
pi,203,212,10,regs,PTW_regs_t,regs.vpn0_r,reg10_t
pi,213,214,2,regs,PTW_regs_t,regs.op_type_r,reg2_t
pi,215,246,32,regs,PTW_regs_t,regs.pte1_raw_r,reg32_t
pi,247,278,32,regs,PTW_regs_t,regs.pte2_raw_r,reg32_t
pi,279,279,1,lookup_in,PTW_lookup_in_t,lookup_in.reserved,wire1_t
